Einkaufspreis;KategorieNr;LieferantNr;MengeAufLager;MengeBestellt;Produktname;ProduktNr;StückProEinheit;Listenpreis
15,37;1;1;39;0;Lenin Jeansshorts;1;10;20
16,17;1;1;17;40;Mr2 Trousers;2;10;19
15,45;2;1;13;70;Chantell Shirt;3;20;20
19,34;2;2;53;0;Rossi Shorts;4;15;22
4,72;1;2;0;0;O-Man Underwear;5;100;6
3,21;2;3;120;0;Shagall Socks;6;50;4
33,11;7;3;15;0;Runner Shoes;7;40;40
16,14;2;3;6;0;Tuxedo Top;8;20;20
32,9;6;4;29;0;Fuji Boots;9;10;39
6,2;8;4;31;0;Sapporoo Gloves;10;20;7
21,1;1;5;22;30;Desperado Jeans;11;25;28
7,92;4;5;86;0;Tank Swimsuit;12;20;10
21,11;8;6;24;0;Aino Shoes;13;25;25
20,36;7;6;35;0;Kool Sunglasses;14;21;23,25
4,98;2;6;39;0;Sumi Underwear;15;30;6,5
7,33;3;7;29;0;Wimbledon T-Shirt;16;24;9,45
19,35;6;7;0;0;TieBreak Tennis shoes;17;36;25
22,09;8;7;42;0;Deuce Shirt;18;18;25,5
7,4;3;8;25;0;Squash Shorts;19;1;9,2
64,49;3;8;40;0;Tennis Suit;20;1;81
8,78;3;8;3;40;Basket Shoes;21;1;10
2,65;5;9;104;0;Ravellis Träskor;22;90;3,5
7,43;5;9;61;0;DSW Sandals;23;100;9
3,9;1;10;20;0;Samba Soccer Socks;24;100;4,5
10,85;3;11;76;0;Basket Vest;25;1;14
26,13;3;11;15;0;Bike Helmet;26;1;31,23
36,06;3;11;49;0;Tracksuit;27;1;43,9
36,81;7;12;26;0;RDL Suit;28;1;45,6
100,74;6;12;0;0;Davenport Shoes;29;1;123,79
22,71;8;13;10;0;Baby Dark Lounge Suit;30;1;25,89
7,53;1;14;0;70;Rossi Bermuda Shorts;31;20;8,5
15,12;4;14;9;40;Riviera Swimsuit;32;30;19
20,2;3;15;112;0;Casual Boots;33;25;25,5
6,76;4;16;111;0;Baywatch Swimsuit;34;12;8
5,17;4;16;20;0;LA. Shorts;35;14;6
6,45;8;17;112;0;Mehmet-Tröja;36;20;8
3,43;8;17;11;50;Mehmet-Skor;37;21;4
62,38;2;18;17;0;Le Baby Dress;38;4;80,5
48,17;2;18;69;0;Terence Top;39;3;60
16,34;8;19;123;0;Duck Trousers;40;1;18,4
7,28;8;19;85;0;Duck Shirt;41;1;9,65
10,95;5;20;26;0;Walking Shoes;42;1;14
10,48;4;20;17;10;Summer Shorts;43;1;12
67,17;2;20;27;0;Okkaba Skin Jackets;44;7;75,45
8,44;6;21;5;70;Danske Treshoe;45;100;9,5
9,07;8;21;95;0;Rodbye Troje;46;40;12
22,12;6;22;36;0;Lundenhagen Boots;47;14;25,5
28,35;6;22;15;70;Root Boot;48;25;32,75
15,43;3;23;10;60;Finnish Sport Blades;49;1;20
13,57;4;23;65;0;Finnish Swimsuit;50;1;16,25
82,74;6;24;20;0;Summit Hiking Boots;51;10;99,9
70,81;5;24;38;0;Winter Boots;52;14;80
52,38;2;24;0;0;Jack Flash Dress;53;6;60,8
30,27;3;25;21;0;Patamonia Fleece Jacket;54;24;35,45
33,18;3;25;115;0;Feiss Fleece Trousers;55;20;39
34,17;5;26;21;10;Slip-on Shoes;56;15;38
16,14;5;26;36;0;Lightweight Sandals;57;20;19,5
37,17;8;27;62;0;Onesy Dress;58;20;48,25
6,69;3;28;79;0;Rasta WCT;59;105;8,5
4,44;3;28;19;0;Game Over T-Shirt;60;53;5
22,24;3;29;113;0;AAA Running Shoe;61;20;26,5
25,39;3;29;17;0;Lace Shoes;62;30;29,3
15,9;2;7;24;0;Serve-Shirt;63;68;19,9
29,25;5;12;22;80;WFS Shoes;64;1;33,25
8,68;2;2;76;0;Stretch Pants;65;40;10,05
16,58;2;2;4;100;Langoste Shirt;66;15;19
46,1;2;16;52;0;Minnki Pälsii;67;26;60
9,67;3;8;6;10;Cap;68;1;12,5
1,65;3;15;26;0;Tube Socks;69;100;2
24,98;1;7;15;10;US-Master Jeans;70;15;29
26,49;1;15;26;0;Atles Lussekofta;71;10;30,5
8,96;2;14;14;0;Oyaki Kimono;72;30;11,8
0,89;8;17;101;0;Mehmet-Napp;73;100;1,1
24,39;7;4;4;20;X-Train Shoes;74;30;30
6,61;1;12;125;0;Bow tie;75;1;7,75
304,7;2;23;57;0;Halter Dress;76;2;399
10,95;2;12;32;0;Wrap Skirt;77;1;13
